id,name,region,subregion_or_pdo_pgi,cultivars,harvest_year,category,color,fruitiness_intensity,bitterness_intensity,pungency_intensity,aroma_notes,taste_notes,defects,processing,filtration,acidity_pct,awards,description
INT-000638,Argolic Breeze • Irbid,Irbid,Irbid,Coratina,2024.0648842849998,EVOO,golden-green,6.220047374609582,3.478164517872643,4.078539584560197,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.37298443540861104,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000747,Laconian Peaks • Trás-os-Montes,Trás-os-Montes,Alentejo,Arbosana,2024.1028122177108,EVOO,bright green,7.550610004462223,4.659830521049462,6.155645303387663,green banana;wild herbs;chicory,gentle bitterness;clean;long aftertaste,none,"two-phase mill, cold",unfiltered,0.3079473943219005,—,"Athinolia brings elegance and floral notes, softened by Koroneiki; versatile everyday oil."
INT-000571,Mytilene Estate • Irbid,Irbid,Ajloun,Barnea,2024.0580188166375,EVOO,golden-green,6.546172509876574,3.9904585895170657,4.167826734476514,ripe tomato;oregano;dried fig,rounded;pleasant;light pepper,none,"two-phase, cold",filtered,0.3990809238273457,—,Classically soft Kolovi suitable for mild salads.
INT-000216,Zakynthos Grove • Marrakech-Safi,Marrakech-Safi,Marrakech-Safi,Chemlali,2024.0052439354595,EVOO,green,6.742505802013766,4.628990662658812,6.651536262646339,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.29143444968893106,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000079,Nestos Riverbank • İzmir,İzmir,Aydın,Manzanilla,2024.036834242368,EVOO,green,7.089259134757028,4.98572064926422,7.654812543805073,green tomato;rocket;peppercorn,firm;spicy;clean finish,none,"cold, inert gas",filtered,0.24673647459825346,—,Thracian blend with zesty tomato‑leaf and spicy finish.
INT-000579,Makri Heritage • San Joaquin,San Joaquin,Sonoma,Coratina,2023.991311272358,EVOO,emerald green,8.281455476143195,5.521857412839655,6.4537437666784125,tomato leaf;green pepper;fresh herbs,crisply bitter;vivid pepper,none,"cold extraction, decanter",unfiltered,0.3236819061312193,—,"Distinct Makri cultivar, tomato‑leaf aromas and vibrant pepper; superb for bruschetta."
INT-000384,Mytilene Estate • Umbria,Umbria,Tuscany,Manzanilla,2024.0063061531544,EVOO,golden-green,6.550996241539238,3.9337617640738656,4.426537833805896,ripe tomato;oregano;dried fig,rounded;pleasant;light pepper,none,"two-phase, cold",filtered,0.4055521350208527,—,Classically soft Kolovi suitable for mild salads.
INT-000040,Phthiotis Vale • Kairouan,Kairouan,Sfax,Taggiasca,2024.0395422283696,EVOO,golden,4.840978779207024,3.3828768464837626,2.75,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.46212307356258137,—,"Gentle mainland blend with friendly, ripe flavor profile."
INT-000024,Zakynthos Grove • Marrakech-Safi,Marrakech-Safi,Marrakech-Safi,Picual,2024.0628375360784,EVOO,green,6.76638729472032,4.941882410666792,5.402514087289378,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.35275883215629983,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000693,Saronic Shores • Sousse,Sousse,Sousse,Arbosana,2023.9874117944862,EVOO,golden-green,5.748726767190073,4.875503454456073,5.302454774888284,ripe apple;herbs;almond,smooth;gentle bitterness,none,cold extraction,filtered,0.3251135884809956,—,"Attica blend, approachable and smooth for everyday use."
INT-000399,Phthiotis Vale • Judean Hills,Judean Hills,Galilee,Frantoio,2024.020993689186,EVOO,golden,5.193873961553336,3.938711077840888,3.1599256681238805,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.45134264885214415,—,"Gentle mainland blend with friendly, ripe flavor profile."
INT-000797,Argolic Breeze • Mendoza,Mendoza,Catamarca,Barnea,2024.0061214519549,EVOO,golden-green,6.164803402704782,3.9404833345604113,4.176979342669358,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.3844141780155258,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000742,Chalkidiki Grove • Colchagua,Colchagua,Colchagua,Arbequina,2023.9874744296114,EVOO,green,6.549775939644122,5.021499248610395,6.7120031592896146,fresh grass;green apple;thyme,balanced;crisp;clean finish,none,"two-phase, cold",filtered,0.35440635330846787,—,Northern Greek blend with bright aromatics and tidy finish; great with greens pies.
INT-000140,Cretan Ridge • Wairarapa,Wairarapa,Wairarapa,Cornicabra,2024.1054435570843,EVOO,vibrant green,8.565386658954015,7.152255606499397,8.25,rocket;artichoke;green almond;oregano,robust;spicy;lingering pepper,none,"three-phase mill, nitrogen blanket",filtered,0.22083606472948414,NYIOOC 2024 Gold (fictional),Powerful Cretan profile with high fruitiness and pungency; stands up to roasted meats.
INT-000251,Tsounati Mountain • Balıkesir,Balıkesir,İzmir,Arbequina,2023.9878111881287,EVOO,deep green,7.107431188240691,5.673835265755258,7.929120350012286,wild greens;artichoke;oregano,bold bitterness;strong pepper,none,"cold extraction, two-phase",unfiltered,0.2054814726991583,—,Mountain Tsounati with intense pepper and wild herb character.
INT-000175,Phthiotis Vale • Hawke's Bay,Hawke's Bay,Hawke's Bay,Barnea,2023.9092729886825,EVOO,golden,4.8,3.4549023212667964,2.75,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.42005216239438037,—,"Gentle mainland blend with friendly, ripe flavor profile."
INT-000324,Argolic Breeze • Sfax,Sfax,Kairouan,Leccino,2024.0067846492007,EVOO,golden-green,6.060369221427969,3.062086398173696,3.833917365547239,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.38684243379081584,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000596,Messinian Classic • Liguria,Liguria,Sicily,Koroneiki,2023.916248765645,EVOO,green-gold,7.178075398735193,6.33159238090783,7.181716924775563,artichoke;arugula;green almond,assertive;peppery;structured,none,cold-extracted,filtered,0.2726785786498933,—,Quintessential Messinian Koroneiki; assertive but balanced; for red sauces and grills.
INT-000526,Arcadian Orchard • Corsica,Corsica,Corsica,Taggiasca,2023.9528055301355,EVOO,golden,6.162783374861815,4.255377095000376,4.245626468655452,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.36151189797140276,—,Approachable blend suited for everyday cooking and baking.
INT-000424,Corfiot Lianolia • Aydın,Aydın,Aydın,Hojiblanca,2023.9737420026836,EVOO,green-gold,7.138666725256104,3.5857768225659945,5.2584208384032385,green walnut;wild fennel;apple skin,silky;fresh;medium pepper,none,cold-extracted,filtered,0.2948456220103675,—,Elegant Corfiot oil with herbal lift; shines on steamed vegetables and fish.
INT-000597,Messinian Classic • Kairouan,Kairouan,Sousse,Chemlali,2024.0080466166887,EVOO,green-gold,6.939512010067978,6.03665105149859,7.186376222531866,artichoke;arugula;green almond,assertive;peppery;structured,none,cold-extracted,filtered,0.29899501406721163,—,Quintessential Messinian Koroneiki; assertive but balanced; for red sauces and grills.
INT-000605,Laconian Peaks • South Australia,South Australia,New South Wales,Chemlali,2024.0246120453905,EVOO,bright green,6.902458231683403,4.535989332320464,5.181693365824577,green banana;wild herbs;chicory,gentle bitterness;clean;long aftertaste,none,"two-phase mill, cold",unfiltered,0.3218994008924901,—,"Athinolia brings elegance and floral notes, softened by Koroneiki; versatile everyday oil."
INT-000535,Thassos Throumpa • Languedoc,Languedoc,Provence,Taggiasca,2023.9476974850113,EVOO,golden,4.8714274815732495,2.8,2.75,ripe olive;dried almond;hay,mellow;sweet entry;light pepper,none,cold extraction,unfiltered,0.45501770922542495,—,Soft island profile with ripe notes; ideal for pastries and mellow dishes.
INT-000266,Arcadian Orchard • Castilla-La Mancha,Castilla-La Mancha,Catalonia,Chemlali,2023.96921606544,EVOO,golden,6.50852416176742,3.8650898272356713,3.028359676068359,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.42299048632065633,—,Approachable blend suited for everyday cooking and baking.
INT-000110,Sitia Sunrise • Castilla-La Mancha,Castilla-La Mancha,Extremadura,Leccino,2023.9706994861285,EVOO,bright green,8.040707230852584,6.4299581008317155,6.304292915648189,green tomato;artichoke;nettle,firm bitterness;spicy tail,none,"three-phase, inert gas",filtered,0.21840086090262376,—,High‑energy Sitia EVOO with classic Cretan grassiness; for soups and grilled octopus.
INT-000667,Zakynthos Grove • Sacramento Valley,Sacramento Valley,Napa,Hojiblanca,2024.0078984778434,EVOO,green,6.758941363515753,4.7239144459288935,5.279080484306778,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.32412726292216315,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000295,Nestos Riverbank • Victoria,Victoria,New South Wales,Manzanilla,2024.0209232119043,EVOO,green,7.444921924291192,4.8568980499270795,5.692741326255817,green tomato;rocket;peppercorn,firm;spicy;clean finish,none,"cold, inert gas",filtered,0.3105380133228946,—,Thracian blend with zesty tomato‑leaf and spicy finish.
INT-000337,Corfiot Lianolia • Provence,Provence,Provence,Hojiblanca,2024.0470376659557,EVOO,green-gold,7.7916334135225735,4.4878922431811015,4.3050245495854025,green walnut;wild fennel;apple skin,silky;fresh;medium pepper,none,cold-extracted,filtered,0.31572558522337035,—,Elegant Corfiot oil with herbal lift; shines on steamed vegetables and fish.
INT-000369,Mytilene Estate • O'Higgins,O'Higgins,Colchagua,Coratina,2023.9596637344048,EVOO,golden-green,6.109727708201775,4.505884499949974,3.6883815573852305,ripe tomato;oregano;dried fig,rounded;pleasant;light pepper,none,"two-phase, cold",filtered,0.3691451140960723,—,Classically soft Kolovi suitable for mild salads.
INT-000447,Corfiot Lianolia • O'Higgins,O'Higgins,Maule,Cornicabra,2023.9357739275313,EVOO,green-gold,7.334224143385441,4.558014812006186,5.276053189819957,green walnut;wild fennel;apple skin,silky;fresh;medium pepper,none,cold-extracted,filtered,0.33542640510322874,—,Elegant Corfiot oil with herbal lift; shines on steamed vegetables and fish.
INT-000334,Kefalonian Bay • Koura,Koura,Zgharta,Mission,2024.0333610846988,EVOO,golden-green,5.953628843037147,3.697821831626418,5.114664567696767,ripe apple;oregano;almond,round;mildly peppery,none,cold extraction,filtered,0.3476606018692061,—,Island blend leaning ripe and round; table‑friendly and forgiving.
INT-000199,Cretan Ridge • Victoria,Victoria,New South Wales,Koroneiki,2023.9386927269168,EVOO,vibrant green,8.94389861039934,7.2,8.25,rocket;artichoke;green almond;oregano,robust;spicy;lingering pepper,none,"three-phase mill, nitrogen blanket",filtered,0.21162361869041021,NYIOOC 2024 Gold (fictional),Powerful Cretan profile with high fruitiness and pungency; stands up to roasted meats.
INT-000169,Argolic Breeze • Extremadura,Extremadura,Castilla-La Mancha,Barnea,2024.0077010358725,EVOO,golden-green,5.968480867129427,2.8,4.009676133358132,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.33736468752293314,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000482,Phthiotis Vale • Sicily,Sicily,Tuscany,Arbosana,2023.8798778632802,EVOO,golden,4.8,3.090231678299369,2.75,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.42771658037488336,—,"Gentle mainland blend with friendly, ripe flavor profile."
INT-000724,Corfiot Lianolia • İzmir,İzmir,Aydın,Manzanilla,2024.050989120836,EVOO,green-gold,6.725982385905686,4.27359158237747,4.166257684538161,green walnut;wild fennel;apple skin,silky;fresh;medium pepper,none,cold-extracted,filtered,0.3058088819695042,—,Elegant Corfiot oil with herbal lift; shines on steamed vegetables and fish.
INT-000656,Chalkidiki Grove • Galilee,Galilee,Galilee,Taggiasca,2024.1080036447665,EVOO,green,7.454560424312964,4.562216012810811,5.123269234680922,fresh grass;green apple;thyme,balanced;crisp;clean finish,none,"two-phase, cold",filtered,0.31985062140599785,—,Northern Greek blend with bright aromatics and tidy finish; great with greens pies.
INT-000307,Zakynthos Grove • Andalusia,Andalusia,Extremadura,Arbequina,2023.9982396367282,EVOO,green,6.972748514889259,4.934896125293181,5.940278354037367,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.3376678454342779,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000232,Phthiotis Vale • O'Higgins,O'Higgins,O'Higgins,Taggiasca,2023.9040890221581,EVOO,golden,4.83725435733252,3.013869749857666,3.373639048613524,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.4180561540013678,—,"Gentle mainland blend with friendly, ripe flavor profile."
INT-000423,Arcadian Orchard • Marrakech-Safi,Marrakech-Safi,Fès-Meknès,Taggiasca,2024.0764593371332,EVOO,golden,6.534403038422647,4.529234050156109,4.569327360987305,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.32400482622007193,—,Approachable blend suited for everyday cooking and baking.
INT-000050,Phthiotis Vale • Languedoc,Languedoc,Provence,Mission,2024.0142692176807,EVOO,golden,4.8,2.8,2.75,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.39973512678601564,—,"Gentle mainland blend with friendly, ripe flavor profile."
INT-000788,Argolic Breeze • Colchagua,Colchagua,Colchagua,Picual,2024.0035044345798,EVOO,golden-green,5.692214675895858,2.8,3.606827316914489,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.352856972912136,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000358,Arcadian Orchard • Hawke's Bay,Hawke's Bay,Wairarapa,Mission,2024.0485141778345,EVOO,golden,6.432492711315048,4.515439159235735,3.3698745442405085,ripe pear;chamomile;almond,buttery;gentle bitterness,none,cold extraction,filtered,0.37834847929163096,—,Approachable blend suited for everyday cooking and baking.
INT-000087,Tsounati Mountain • Wairarapa,Wairarapa,Hawke's Bay,Hojiblanca,2023.8643713062315,EVOO,deep green,7.633846162892558,6.234539974779619,7.6135168687584525,wild greens;artichoke;oregano,bold bitterness;strong pepper,none,"cold extraction, two-phase",unfiltered,0.24382026850295208,—,Mountain Tsounati with intense pepper and wild herb character.
INT-000546,Mytilene Estate • Catamarca,Catamarca,Catamarca,Frantoio,2023.9634872030485,EVOO,golden-green,5.564596234965421,4.482714131787372,4.538018264007896,ripe tomato;oregano;dried fig,rounded;pleasant;light pepper,none,"two-phase, cold",filtered,0.39699241315269024,—,Classically soft Kolovi suitable for mild salads.
INT-000193,Cretan Ridge • Beira Interior,Beira Interior,Alentejo,Leccino,2023.9928473927155,EVOO,vibrant green,8.644972852381308,7.2,8.089390954816999,rocket;artichoke;green almond;oregano,robust;spicy;lingering pepper,none,"three-phase mill, nitrogen blanket",filtered,0.19255007321646733,NYIOOC 2024 Gold (fictional),Powerful Cretan profile with high fruitiness and pungency; stands up to roasted meats.
INT-000796,Sitia Sunrise • La Rioja,La Rioja,La Rioja,Arbosana,2024.068861640753,EVOO,bright green,8.445829031052131,6.596520487248814,7.233545696257401,green tomato;artichoke;nettle,firm bitterness;spicy tail,none,"three-phase, inert gas",filtered,0.1875,—,High‑energy Sitia EVOO with classic Cretan grassiness; for soups and grilled octopus.
INT-000034,Argolic Breeze • Corsica,Corsica,Languedoc,Cornicabra,2024.0085991642356,EVOO,golden-green,5.625676707807922,2.8,3.0601471199482395,ripe apple;pear;chamomile,mild;buttery;light pepper,none,cold-extracted <27°C,filtered,0.36636188883211673,—,Classic Manaki with mild bitterness and delicate aromas; great for baking and white cheeses.
INT-000032,Peloponnesian Grove • Zgharta,Zgharta,Zgharta,Leccino,2024.0450616739279,EVOO,deep green-gold,7.919059484040567,5.931167358066209,6.665361146483148,green apple;fresh-cut grass;tomato leaf;artichoke,balanced;slightly peppery;almond finish,none,cold-extracted <27°C,filtered,0.22370248143315358,—,Koroneiki from Messinia with bright green fruitiness and a peppery finish; ideal for salads and grilled fish.
INT-000200,Chalkidiki Grove • Koura,Koura,Zgharta,Arbosana,2023.9132544553954,EVOO,green,7.264418882271944,4.924592624095118,6.540865502855513,fresh grass;green apple;thyme,balanced;crisp;clean finish,none,"two-phase, cold",filtered,0.3684414344567356,—,Northern Greek blend with bright aromatics and tidy finish; great with greens pies.
INT-000366,Chalkidiki Grove • Galilee,Galilee,Galilee,Taggiasca,2024.0759077220046,EVOO,green,6.597136008541212,4.774775657224172,6.853226739019462,fresh grass;green apple;thyme,balanced;crisp;clean finish,none,"two-phase, cold",filtered,0.2784641300785201,—,Northern Greek blend with bright aromatics and tidy finish; great with greens pies.
INT-000487,Olympia Fields • Kairouan,Kairouan,Sfax,Mission,2024.0326923660214,EVOO,green-gold,7.182776524281475,5.121266066591486,5.708181232119692,fresh-cut grass;green almond;citrus zest,balanced;clean;medium pepper,none,three-phase,filtered,0.25289992581784476,—,Clean classic profile; versatile on legumes and grilled vegetables.
INT-000595,Olympia Fields • South Australia,South Australia,Victoria,Coratina,2023.9808126026267,EVOO,green-gold,7.3464615356833205,4.419020815020033,6.698285051831472,fresh-cut grass;green almond;citrus zest,balanced;clean;medium pepper,none,three-phase,filtered,0.28135661279956736,—,Clean classic profile; versatile on legumes and grilled vegetables.
INT-000569,Olympia Fields • San Joaquin,San Joaquin,Sonoma,Barnea,2024.0223428500894,EVOO,green-gold,7.089685277157854,4.7897188186020765,6.271411889388126,fresh-cut grass;green almond;citrus zest,balanced;clean;medium pepper,none,three-phase,filtered,0.28395395313348293,—,Clean classic profile; versatile on legumes and grilled vegetables.
INT-000429,Saronic Shores • Kairouan,Kairouan,Sousse,Leccino,2024.0535598350925,EVOO,golden-green,6.065842687957748,3.452639525913271,5.343970527274223,ripe apple;herbs;almond,smooth;gentle bitterness,none,cold extraction,filtered,0.3742313500789904,—,"Attica blend, approachable and smooth for everyday use."
INT-000138,Zakynthos Grove • La Rioja,La Rioja,Mendoza,Koroneiki,2024.1201154059713,EVOO,green,6.903573043493012,4.814704275632349,5.073532187689952,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.3465385592444833,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000073,Zakynthos Grove • Zgharta,Zgharta,Akkar,Coratina,2024.0405008824496,EVOO,green,6.750743498704152,4.6810491636925295,6.20852923777012,green banana;parsley;pepper leaf,fresh;medium body;clean heat,none,two-phase,unfiltered,0.32267641785524986,—,Lively island Koroneiki with green banana and clean peppery lift.
INT-000078,Phthiotis Vale • Akkar,Akkar,Zgharta,Mission,2024.018812541617,EVOO,golden,5.512738196526054,3.040448479197163,2.75,ripe apple;dried herb;almond,soft;low bitterness;light heat,none,cold extraction,filtered,0.4265864418609705,—,"Gentle mainland blend with friendly, ripe flavor profile."
